book_id,title,author,genres
1,"The Hunger Games (The Hunger Games, #1)",Suzanne Collins,"young-adult, fiction, dystopian, dystopia, fantasy"
2,"Harry Potter and the Sorcerer's Stone (Harry Potter, #1)","J.K. Rowling, Mary GrandPré","fantasy, young-adult, fiction, harry-potter, ya"
3,"Twilight (Twilight, #1)",Stephenie Meyer,"young-adult, fantasy, vampires, ya, fiction"
4,To Kill a Mockingbird,Harper Lee,"classics, classic, historical-fiction, school, clàssics"
5,The Great Gatsby,F. Scott Fitzgerald,"classics, fiction, classic, literature, school"
6,The Fault in Our Stars,John Green,"young-adult, fiction, ya, romance, contemporary"
7,The Hobbit,J.R.R. Tolkien,"fantasy, classics, fiction, classic, adventure"
8,The Catcher in the Rye,J.D. Salinger,"classics, fiction, classic, young-adult, literature"
9,"Angels & Demons  (Robert Langdon, #1)",Dan Brown,"fiction, mystery, thriller, dan-brown, suspense"
10,Pride and Prejudice,Jane Austen,"classics, fiction, romance, classic, favourites"
11,The Kite Runner,Khaled Hosseini,"fiction, historical-fiction, book-club, contemporary, favourites"
12,"Divergent (Divergent, #1)",Veronica Roth,"young-adult, dystopian, ya, fiction, fantasy"
13,1984,"George Orwell, Erich Fromm, Celâl Üster","fiction, science-fiction, sci-fi, dystopian, classic"
14,Animal Farm,George Orwell,"classics, fiction, classic, dystopia, fantasy"
15,The Diary of a Young Girl,"Anne Frank, Eleanor Roosevelt, B.M. Mooyaart-Doubleday","non-fiction, classics, history, biography, nonfiction"
16,"The Girl with the Dragon Tattoo (Millennium, #1)","Stieg Larsson, Reg Keeland","fiction, mystery, thriller, crime, series"
17,"Catching Fire (The Hunger Games, #2)",Suzanne Collins,"young-adult, dystopia, fantasy, sci-fi, series"
18,"Harry Potter and the Prisoner of Azkaban (Harry Potter, #3)","J.K. Rowling, Mary GrandPré, Rufus Beck","fantasy, young-adult, fiction, harry-potter, ya"
19,"The Fellowship of the Ring (The Lord of the Rings, #1)",J.R.R. Tolkien,"fantasy, classics, fiction, classic, adventure"
20,"Mockingjay (The Hunger Games, #3)",Suzanne Collins,"young-adult, dystopian, fiction, dystopia, ya"
21,"Harry Potter and the Order of the Phoenix (Harry Potter, #5)","J.K. Rowling, Mary GrandPré","fantasy, children, children-s, all-time-favorites, fiction"
22,The Lovely Bones,Alice Sebold,"fiction, mystery, young-adult, contemporary, fantasy"
23,"Harry Potter and the Chamber of Secrets (Harry Potter, #2)","J.K. Rowling, Mary GrandPré","fantasy, young-adult, fiction, harry-potter, series"
24,"Harry Potter and the Goblet of Fire (Harry Potter, #4)","J.K. Rowling, Mary GrandPré","fantasy, young-adult, fiction, harry-potter, ya"
25,"Harry Potter and the Deathly Hallows (Harry Potter, #7)","J.K. Rowling, Mary GrandPré","fantasy, young-adult, fiction, harry-potter, ya"
26,"The Da Vinci Code (Robert Langdon, #2)",Dan Brown,"fiction, thriller, dan-brown, suspense, historical-fiction"
27,"Harry Potter and the Half-Blood Prince (Harry Potter, #6)","J.K. Rowling, Mary GrandPré","fantasy, young-adult, fiction, harry-potter, ya"
28,Lord of the Flies,William Golding,"classics, fiction, classic, young-adult, school"
29,Romeo and Juliet,"William Shakespeare, Robert           Jackson","classics, plays, fiction, romance, classic"
30,Gone Girl,Gillian Flynn,"mystery, crime, fiction, contemporary, thriller"
31,The Help,Kathryn Stockett,"fiction, historical-fiction, book-club, historical, adult"
32,Of Mice and Men,John Steinbeck,"classics, fiction, classic, school, literature"
33,Memoirs of a Geisha,Arthur Golden,"fiction, historical-fiction, romance, historical, japan"
34,"Fifty Shades of Grey (Fifty Shades, #1)",E.L. James,"romance, book-club, fifty-shades, fiction, my-books"
35,The Alchemist,"Paulo Coelho, Alan R. Clarke","fiction, classics, fantasy, philosophy, book-club"
36,"The Giver (The Giver, #1)",Lois Lowry,"children, fiction, classics, school-books, teen"
37,"The Lion, the Witch, and the Wardrobe (Chronicles of Narnia, #1)",C.S. Lewis,"fantasy, classics, fiction, young-adult, childrens"
38,The Time Traveler's Wife,Audrey Niffenegger,"fiction, romance, fantasy, time-travel, sci-fi"
39,"A Game of Thrones (A Song of Ice and Fire, #1)",George R.R. Martin,"fiction, epic-fantasy, favourites, fantasy, sci-fi-fantasy"
40,"Eat, Pray, Love",Elizabeth Gilbert,"non-fiction, memoir, travel, nonfiction, book-club"
41,"The Lightning Thief (Percy Jackson and the Olympians, #1)",Rick Riordan,"fantasy, young-adult, mythology, ya, fiction"
42,"Little Women (Little Women, #1)",Louisa May Alcott,"classics, fiction, classic, young-adult, historical-fiction"
43,Jane Eyre,"Charlotte Brontë, Michael Mason","clàssics, literature, gothic, historical, 19th-century"
44,"The Notebook (The Notebook, #1)",Nicholas Sparks,"fiction, nicholas-sparks, chick-lit, romance, contemporary"
45,Life of Pi,Yann Martel,"fantasy, book-club, adventure, classics, contemporary"
46,Water for Elephants,Sara Gruen,"fiction, historical-fiction, romance, bookclub, book-club"
